File,Line,Code
"public/ui-bootstrap.js",109,"console.error(""Login failed:"", error);"
"public/ui-bootstrap.js",191,"console.error('Login error:', error);"
"public/sw.js",100,"console.error('[SW] Failed to cache assets:', error);"
"public/sw.js",194,"console.error('[SW] Request failed:', error);"
"public/sw.js",215,"console.error('[SW] Network request failed:', error);"
"public/sw.js",258,"console.error('[SW] Background fetch failed:', error);"
"public/sw.js",525,"console.error('[SW] Font request failed:', error);"
"public/sw.js",587,"console.error('[SW] Background sync error:', error);"
"public/app.js",87,"console.error('❌ Login error:', error);"
"public/app.js",186,"console.error('❌ Failed to load dashboard data:', error);"
"public/app.js",281,"console.error('❌ Error:', message);"
"public/js/saudi-mobile-optimizations.js",366,"console.error('Failed to sync offline data:', error);"
"tools/wo-smoke.ts",19,"console.error(""❌ ERR"", res.status, body);"
"tools/wo-smoke.ts",77,"console.error(""❌ Test failed:"", e);"
"test-e2e-comprehensive.js",25,"console.error(`❌ ${name}: ${err.message}`);"
"test-e2e-comprehensive.js",220,"console.error('\n💥 FATAL ERROR:', err);"
"providers/Providers.test.tsx",36,"const ConsoleError = console.error;"
"providers/Providers.test.tsx",39,"console.error = (...args: any[]) => {"
"providers/Providers.test.tsx",48,"console.error = ConsoleError;"
"fix_merge_conflicts.js",63,"console.error(`❌ Error fixing ${filePath}:`, error.message);"
"server/copilot/audit.ts",31,"console.error(""Failed to record copilot audit"", error);"
"server/middleware/withAuthRbac.ts",23,"console.error('Failed to parse x-user header:', e);"
"server/utils/errorResponses.ts",101,"console.error('Internal server error:', {"
"server/utils/errorResponses.ts",140,"console.error('Unhandled API error:', {"
"server/utils/errorResponses.ts",151,"console.error('Unknown error type:', error);"
"app/api/billing/subscribe/route.ts",153,"console.error('Subscription creation failed:', error);"
"app/api/health/database/route.ts",56,"console.error('Database health check failed:', error);"
"app/api/auth/me/route.ts",96,"console.error('Get current user error:', error);"
"app/api/payments/paytabs/route.ts",112,"console.error('PayTabs error:', error);"
"app/api/payments/callback/route.ts",65,"console.error('Invoice not found for payment callback:', cart_id);"
"app/api/payments/callback/route.ts",118,"console.error('Payment callback error:', error);"
